Column1;Column2;Column3;Column4;
correct_word;misspelled_word;category;;
commitment;committment;repeat_consonant;;
harass;harrass;repeat_consonant;;
occasion;occassion;repeat_consonant;;
recommend;reccommend;repeat_consonant;;
across;accross;repeat_consonant;;
until;untill;repeat_consonant;;
useful;usefull;repeat_consonant;;
professor;proffessor;repeat_consonant;;
control;controll;repeat_consonant;;
writing;writting;repeat_consonant;;
original;orriginal;repeat_consonant;;
process;proccess;repeat_consonant;;
necessary;neccessary;repeat_consonant;;
apartment;appartment;repeat_consonant;;
fulfill;fullfill;repeat_consonant;;
business;bussiness;repeat_consonant;;t->tt,l->ll,m->mm,n->nn,s->ss,p->pp,c->cc,r->rr
already;allready;repeat_consonant;;
always;allways;repeat_consonant;;
amount;ammount;repeat_consonant;;
around;arround;repeat_consonant;;
balance;ballance;repeat_consonant;;
coming;comming;repeat_consonant;;
equipment;equippment;repeat_consonant;;
finally;finnally;repeat_consonant;;
grateful;gratefull;repeat_consonant;;
image;immage;repeat_consonant;;
memory;memmory;repeat_consonant;;
operator;opperator;repeat_consonant;;
parallel;parrallel;repeat_consonant;;
planet;plannet;repeat_consonant;;
position;possition;repeat_consonant;;
program;programm;repeat_consonant;;
quality;quallity;repeat_consonant;;
report;repport;repeat_consonant;;
special;speccial;repeat_consonant;;
standard;stanndard;repeat_consonant;;
total;totall;repeat_consonant;;
beginning;begginning ;repeat_consonant;;
truly;trully;repeat_consonant;;
immediate;immediatte;repeat_consonant;;
experience;experrience;repeat_consonant;;
opinion;opinnion;repeat_consonant;;
tomorrow;tommorrow;repeat_consonant;;
welcome;wellcome;repeat_consonant;;
typical;typpical;repeat_consonant;;
promise;promisse;repeat_consonant;;
develop;developp;repeat_consonant;;
manage;managge;repeat_consonant;;
intend;inntend;repeat_consonant;;
apparent;apparrent;repeat_consonant;;
;;;;
definitely;definately;wrong_vowel;;
separate;seperate;wrong_vowel;;
independent;independant;wrong_vowel;;
cemetery;cemetary;wrong_vowel;;
grammar;grammer;wrong_vowel;;
occurrence;occurrance;wrong_vowel;;
attendance;attendence;wrong_vowel;;
privilege;privelege;wrong_vowel;;
calendar;calender;wrong_vowel;;
maintenance;maintanance;wrong_vowel;;
relevant;relevent;wrong_vowel;;
category;catagory;wrong_vowel;;
existence;existance;wrong_vowel;;i->a,a->e,e->a,i->e,a->i
persistent;persistant;wrong_vowel;;
reference;referance;wrong_vowel;;
guidance;guidence;wrong_vowel;;
performance;performence;wrong_vowel;;
insurance;insurence;wrong_vowel;;
appearance;appearence;wrong_vowel;;
difference;differance;wrong_vowel;;
intelligence;intelligance;wrong_vowel;;
sequence;sequance;wrong_vowel;;
sentence;sentance;wrong_vowel;;
dictionary;dictionery;wrong_vowel;;
medicine;medecine;wrong_vowel;;
negative;negitive;wrong_vowel;;
patience;patiance;wrong_vowel;;
affect;affact;wrong_vowel;;
apparent ;apparant;wrong_vowel;;
frequently;frequantly;wrong_vowel;;
;;;;
consensus;concensus;wrong_consonant;;
absence;absense;wrong_consonant;;
muscle;mussle;wrong_consonant;;c->s,s->c,ph->f,ch->k
alphabet;alfabet;wrong_consonant;;
phantom;fantom;wrong_consonant;;
character;karacter;wrong_consonant;;
photo;foto;wrong_consonant;;
coarse;coarce;wrong_consonant;;
philosophy;filosophy ;wrong_consonant;;
city;sity;wrong_consonant;;
musician;musisian;wrong_consonant;;
phone;fone;wrong_consonant;;
phrase;frase;wrong_consonant;;
phenomenon;fenomenon;wrong_consonant;;
pharmacy;farmacy;wrong_consonant;;
chemist;kemist;wrong_consonant;;
chorus;korus;wrong_consonant;;
culture;kulture;wrong_consonant;;
coffee;koffee;wrong_consonant;;
camera;kamera;wrong_consonant;;
exact;exakt;wrong_consonant;;
