word,level
abandon,B2
abandoned,B2
aberration,C2
abhor,C2
abhorrent,C2
abhorrently,C2
ability,A2
abject,C2
able,B1
abnormal,B1
abnormally,B2
aboard,B1
abolish,B2
aboriginal,B2
aborigine,B1
abound,C1
about,A1
above,B1
abroad,A2
abruptly,B2
absence,B1
absent,B1
absentee,B2
absolute,B2
absolutely,B1
absorb,B2
abstract,B2
abstraction,C1
absurd,B2
abundance,B1
abundant,B1
abundantly,C2
abuse,B2
academic,B2
academy,B1
accent,B2
accept,A2
acceptable,B2
acceptance,B1
access,B1
accessibility,B2
accessible,B1
accessory,B1
accident,A2
accidental,B1
accidentally,B2
accommodate,B2
accommodation,B2
accompany,B2
accomplish,B2
accordingly,B2
account,B2
accountability,C2
accountant,B2
accrue,C2
accumulate,B2
accuracy,B2
accurate,B2
accurately,B2
accusation,B2
accuse,B2
accustom,B1
accustomed,C1
ache,B1
achievable,B2
achieve,A2
achievement,B1
acid,B2
acidic,C1
acknowledge,B2
acoustic,C1
acoustically,C1
acoustics,C1
acquaintance,B1
acquire,B2
acquisition,B2
acre,B2
acreage,C2
acrobatic,C2
acrobatically,C2
acrobatics,C2
across,A2
action,A1
activate,B2
active,B1
actively,B2
activity,A1
actor,A1
actress,B1
actual,B2
actually,A2
acute,B2
acutely,C1
adapt,B2
adaptable,B2
addict,B2
addicted,B2
addiction,B2
addition,A2
additional,B2
additionally,B2
additive,C2
address,B2
addressee,B1
adept,C2
adequate,B2
adequately,B2
adhere,C2
adhesion,C2
adjective,A2
adjoin,C1
adjoining,C1
adjust,B2
adjustable,C1
adjustment,B2
administration,B2
administrative,B2
admirable,B2
admiration,B1
admire,A2
admiringly,B2
admission,B1
admit,A2
admittedly,B2
adopt,B2
adopted,B2
adoption,B2
adorable,B1
adore,B2
adorn,B2
adornment,C2
adrenaline,C1
adult,A2
adulterate,C2
advance,B2
advanced,A2
advancement,B2
advantage,A2
advantageous,C1
advent,B2
adventure,A2
adventurous,B2
adverb,B1
adverbial,B1
adversary,C1
adverse,B2
adversely,B2
adversity,B2
advert,B1
advertise,B1
advertisement,A2
advertising,A2
advice,A2
advise,A2
advisory,C1
aerobics,B1
aesthetic,C1
aesthetically,C1
affair,B2
affect,B1
affectation,C2
affection,B1
affectionate,B2
affectionately,B2
afford,B1
affordable,B2
afraid,A1
after,A2
afternoon,A1
afterward,B1
afterwards,B2
again,A1
against,A2
aged,B2
ageless,B2
agency,B2
agenda,B2
agent,A2
aggressive,B2
aggressively,B2
aghast,C2
agile,C2
agility,C2
agonize,C1
agony,B2
agree,A1
agreeable,C1
agreement,B1
agricultural,B1
agriculture,B2
ahead,A2
aids,B2
aimless,C1
aimlessly,C1
aircraft,B2
aircrew,B2
airline,B1
airport,A1
aisle,A2
alarm,B2
album,A1
alcohol,B1
alcoholic,B1
alcoholism,B2
alert,B2
alien,B2
alienate,C1
align,C1
alignment,C1
alike,B1
alive,A2
allegation,B2
allege,C1
allegorical,C2
allegory,C2
allergic,B1
alleviate,C1
alliance,B2
allot,C2
allotment,C2
allow,A2
allowance,B1
allude,C2
allusion,C2
ally,B2
almost,A1
alone,A2
along,A1
alongside,B2
aloud,B1
alphabet,B1
alphabetical,B2
already,A1
alright,A2
also,A1
altar,B2
alter,B2
alternate,B2
alternative,B1
alternatively,B2
although,A2
altitude,B2
altogether,B2
altruism,C1
altruistic,C1
always,A1
amateur,C1
amaze,B2
amazed,B1
amazement,B2
amazing,B1
amazingly,B2
ambassador,B2
ambiguity,B2
ambiguous,B2
ambition,A2
ambitious,B2
ambulance,B2
amid,C1
ammonia,B2
among,A2
amongst,B2
amorphous,C2
amorphously,C2
amount,B2
ample,B2
amplification,C1
amplifier,B2
amplify,B2
amply,C1
amuse,B2
amused,A2
amusement,A2
amusing,B2
analogy,B2
analysis,B1
analyst,B2
anarchic,C2
ancestor,B2
anchor,B2
anchorage,B2
anchored,C1
anchorman,B2
anchorperson,B2
ancient,A2
angel,A2
anger,B2
angle,B2
angrily,A2
angry,A1
angst,C2
angsty,C2
anguish,B2
angular,C2
angularity,C2
animal,A1
animate,B2
animated,B1
animatedly,C1
animation,B2
ankle,A2
annex,C2
anniversary,B2
announce,B1
announcement,B1
annoy,A2
annoyance,B1
annoyed,B1
annoying,A2
annual,B2
annually,B2
anonymity,C2
anonymous,B2
another,A1
answer,A1
antediluvian,C2
anthology,C2
anthropological,C2
anthropologically,C2
anthropologist,C1
anthropology,C1
anti,B1
antiaircraft,B2
antibacterial,B2
anticancer,B2
anticipate,B2
anticipation,B2
anticlimactic,C1
anticlimactically,C2
antics,C1
antidote,C2
antipollution,B2
antiquated,C1
antique,B2
antiquity,C1
antistatic,B2
antithesis,C2
antithetical,C2
antivirus,B2
antonym,B1
anxiety,B2
anxious,B2
anxiously,B1
anybody,A1
anyhow,B1
anymore,A2
anyone,A1
anything,A1
anyway,A2
anywhere,A2
apart,A2
apartment,A2
apology,B2
apostle,C2
apostrophe,B2
appalling,C1
appallingly,C1
apparent,B2
apparently,B2
appeal,B2
appear,A2
appearance,A2
appetite,B1
applaud,B1
applause,B1
apple,A1
appliance,C1
applicant,B2
application,B1
apply,A2
appoint,B1
appointment,A2
appreciate,A2
appreciation,B1
appreciative,B2
apprehend,C2
apprehensive,C1
apprentice,C1
apprenticeship,C1
approach,B2
appropriate,B2
appropriately,B2
approval,B2
approve,B2
approximate,B2
approximately,B1
april,A1
apron,A1
aptitude,C2
aqua,C1
aquarium,C1
arcane,C2
arcanely,C2
arch,B2
archetypal,C2
archetype,C2
architect,B1
architecture,A2
archival,C2
arctic,B2
arduous,C2
arduously,C2
area,A2
arena,B2
argue,A2
argument,A2
arise,B2
aristocracy,B2
arithmetic,B1
armchair,A2
armed,B2
armful,B2
arms,B2
army,B1
around,A2
arouse,B2
arrange,B1
arrangement,B1
arrest,B1
arrival,B1
arrive,A1
arrogant,B2
arrow,B2
artery,B2
article,A1
articulate,B2
articulation,C2
artifact,C2
artifice,C2
artificial,B2
artificially,B2
artist,B1
artistic,B2
artistically,C1
artistry,B2
artwork,B2
ashamed,B2
aside,B1
asleep,A2
aspect,B2
aspiration,B2
aspire,B2
aspirin,B1
assault,B2
assemble,B2
assembly,B2
assert,B2
assertion,C1
assess,B2
assessment,B2
asset,B2
assign,B2
assignment,B1
assimilate,C2
assimilation,C2
assist,B1
assistance,B2
assistant,A2
associate,B2
associated,B2
association,B2
assume,B2
assumption,B2
assurance,B2
assure,B2
astonish,B2
astonished,B2
astonishing,B2
astonishment,B2
astray,C1
astringent,C2
astronaut,A2
astronomer,B1
astronomy,B2
athlete,A2
athletic,B2
athleticism,C2
athletics,B2
atlantic,B1
atmosphere,B1
atmospheric,C1
atom,A2
atomic,B1
attach,B1
attached,B2
attachment,B2
attack,A2
attain,B1
attainable,B2
attainment,B2
attempt,B2
attend,B1
attendance,B2
attention,A2
attentive,B2
attentively,B2
attitude,A2
attract,B1
attraction,B1
attractive,A2
attractiveness,B2
attribute,B2
attributive,C2
attrition,C2
attuned,C2
atypical,B2
aubergine,B2
audience,A2
audio,B2
audit,B2
audition,B2
august,A1
aunt,A1
austere,C2
austerely,C2
austerity,C2
authenticity,C2
author,A2
authoritative,B2
authority,B1
automate,C2
automatic,A2
automatically,A2
autonomous,C2
autonomously,C2
autopilot,C2
autumn,A1
auxiliary,B1
availability,B2
available,B1
avenue,B1
average,A2
averse,C2
avian,C2
avid,C1
avoid,A2
await,B2
awake,A1
award,A2
aware,B1
awareness,B2
away,A1
awesome,B1
awful,A2
awkward,B2
axiom,C2
axiomatic,C2
axis,B2
babble,C2
baby,A1
babysit,B1
babysitter,B1
back,B2
backache,B1
background,A2
backpack,B1
backpacker,B1
backpacking,B1
backup,B2
backyard,B2
bacon,B1
bacteria,B2
badge,B2
badly,A2
badminton,A2
baggage,B1
bake,A2
baker,B1
bakery,B1
balance,B1
balanced,B2
balcony,A2
bald,B1
baldly,C1
balky,B2
ball,A1
ballad,B2
ballet,B2
balloon,B2
ballot,B2
banana,A1
band,A1
bandage,B1
bang,B1
banish,C2
banishment,C2
bank,A1
banker,B2
banking,A2
bankrupt,B2
bankruptcy,B2
barbecue,A2
barber,A2
barbershop,B2
bare,B1
barely,B2
bargain,B2
bark,B1
barley,B2
barman,B1
barn,B2
barometer,B2
baroque,C2
barrel,B1
barren,B2
barrier,B2
bartender,B2
base,A2
baseball,A1
basement,B2
basic,A2
basically,B2
basin,B1
basis,B1
basket,B2
basketball,A1
batch,A2
bath,A1
bathe,B1
bathhouse,B2
bathroom,A1
batter,C1
battered,C1
battery,A2
battle,B2
battlefield,B2
bauble,C2
beach,A1
beagle,B2
beak,B2
beam,B2
bean,A1
bear,A1
beard,B1
bearded,C1
bearing,B2
beast,B1
beat,B2
beautiful,A1
beautifully,B1
beautify,B2
beauty,A2
beaver,B1
because,A1
become,A1
bedroom,A1
bedside,B1
beef,A1
been,A2
beer,A2
before,A1
beforehand,C1
begin,A1
beginner,A2
beginning,A2
beguiling,C1
beguilingly,C1
behalf,B1
behave,B1
behest,C2
behind,A1
being,B2
belief,B1
believably,C1
believe,A1
bell,A1
belligerence,C2
belligerent,C2
bellow,B2
belly,A2
belong,A2
belongings,B2
beloved,B1
below,A1
belt,A2
bench,A2
bend,B2
beneath,B1
beneficial,B2
beneficiary,C2
benefit,B1
benevolence,B2
benevolent,B2
benign,C1
benignly,C1
bent,B2
bequeath,C1
bereft,C2
bereftly,C2
berry,B2
beside,A1
besides,A2
besiege,C2
best,A1
bestow,B2
bestseller,B2
betray,B2
better,A1
between,A1
bewilder,B2
bewilderment,B2
beyond,B2
bias,B2
bicycle,A1
