correct,misspelled
apennines,apenines
apennines,appenines
athenian,athenean
athenians,atheneans
bernoulli,bernouilli
blitzkrieg,blitzkreig
brazilian,brasillian
britain,britian
british,brittish
caesar,ceasar
cambridge,cambrige
caracas,carcas
caribbean,carribean
carthaginian,carthagian
catalina,cataline
catiline,cataline
celsius,celcius
champagne,champange
connecticut,conneticut
ellis,eles
english,enlish
european,europian
european,eurpean
european,eurpoean
europeans,europians
february,febuary
flemish,flemmish
franciscan,fransiscan
franciscans,fransiscans
gael,gae
galatians,galations
gandhi,ghandi
gauguin,gogin
guatemala,guatamala
guatemalan,guatamalan
guinness,guiness
israelis,israelies
ithaca,ihaca
jacques,jaques
japanese,japanes
joseph,jospeh
judaism,juadaism
judaism,juadism
libya,lybia
malcolm,malcom
maltese,maltesian
mara_liasson,liason
massachusetts,massachussets
massachusetts,massachussetts
mediterranean,mediteranean
michigan,michagan
miranda,meranda
mississippi,missisipi
mississippi,missisippi
missouri,misouri
nazareth,nazereth
new_yorker,newyorker
newfoundland,foundland
nuremberg,nuremburg
orignal,orginal
palestinian,palistian
palestinian,palistinian
philippine,phillipine
philippines,philipines
philippines,phillipines
philippines,phillippines
portuguese,portugese
puccini,pucini
rockefeller,rockerfeller
russian,russion
russian,russina
saturday,saterday
saturdays,saterdays
sistine,sixtin
spanish,spainish
tim,tiem
ukrainian,ukranian
valletta,valetta
wednesday,wendsay
wednesday,wensday
zionist,sionist
zionists,sionists
a_lot,alot
abandon,abondon
abandoned,abondoned
abandoning,abondoning
abandons,abondons
aberration,aberation
about,baout
about,boaut
absence,absense
absorbed,asorbed
absorption,absorbsion
absorption,absorbtion
abuts,abutts
acceptable,acceptible
accessible,accessable
accession,accension
acclimatization,acclimitization
accommodate,accomadate
accommodate,accomodate
accommodated,accomadated
accommodated,accomodated
accommodates,accomadates
accommodates,accomodates
accommodating,accomadating
accommodating,accomodating
accommodation,accomadation
accommodation,accomodation
accommodations,accomodations
accompanied,accompanyed
accomplish,acomplish
accomplished,acomplished
accomplishment,acomplishment
accomplishments,acomplishments
according,acording
accuracy,acuracy
accused,accussed
accustom,acustom
accustomed,acustommed
achieve,acheive
achieve,achive
achieved,acheived
achieved,achived
achievement,acheivement
achievement,acheivment
achievement,achievment
achievements,acheivements
achievements,acheivments
achievements,achievments
achieves,acheives
achieving,acheiving
acquaintance,acquaintence
acquaintance,acquiantence
acquaintance,aquaintance
acquaintance,aquiantance
acquaintances,acquaintences
acquaintances,acquiantences
acquainted,aquainted
acquire,adquire
acquire,aquire
acquired,adquired
acquired,aquired
acquires,adquires
acquiring,adquiring
acquiring,aquiring
acquisition,aquisition
acquitted,acquited
acquitted,aquitted
across,accross
actually,actualy
adders,addres
additionally,additinally
address,addres
address,adres
address,adress
addressable,addresable
addressable,adresable
addressable,adressable
addressing,addresing
addressing,adresing
addressing,adressing
adequate,adecuate
adhering,adhearing
administrate,adminstrate
administration,adminstration
administrative,adminstrative
admissibility,admissability
admissible,admissable
admission,addmission
adolescent,adolecent
adopt,addopt
adopted,addopted
adoptive,addoptive
advertisement,advertisment
advertisements,advertisments
advice,adviced
advised,adviced
aerial,aeriel
aerials,aeriels
afford,affort
afford,efford
affords,effords
aficionado,afficionado
aficionados,afficionados
again,agian
again,agina
aggravate,agravate
aggregate,agregate
aggregates,agregates
aggression,agression
aggressive,agressive
aggressively,agressively
aggrieved,agrieved
agree,agre
agreed,agred
agreeing,agreing
agreement,aggreement
airborne,airbourne
airports,airporta
alcohol,alchohol
alcoholic,alcoholical
algorithm,algoritm
algorithms,algoritms
allege,alege
allege,alledge
alleged,aleged
alleged,alledged
alleges,alledges
allegiance,alegience
allegiance,allegience
alleviate,alliviate
allophone,allopone
allophones,allopones
allot,alot
allotted,alotted
allusion,alusion
almost,almsot
almost,alomst
already,alreayd
also,alsot
also,aslo
although,althought
although,altough
always,alwasy
always,alwyas
amateur,amature
amend,ammend
amendment,admendment
amendment,amendmant
amendment,ammendment
among,amoung
anal,anual
analogous,analagous
analogous,analogeous
analytic,analitic
and,anbd
androgynous,androgenous
androgyny,androgeny
angina,agina
annihilation,anihilation
announced,anounced
annual,anual
annulled,annuled
anoint,annoint
anointed,annointed
anointing,annointing
anoints,annoints
anomalies,anomolies
anomalous,anomolous
anomaly,anomoly
anonymity,anonimity
anything,anytying
anywhere,anyhwere
apart,appart
apartment,appartment
apartments,appartments
apologetics,apolegetics
apologies,appologies
apology,appology
appalling,appealling
apparent,aparent
apparent,apparant
appealing,appealling
appearance,appearence
appearances,appearences
application,aplication
appreciate,apprieciate
approaches,approachs
appropriate,appropiate
approximately,approximitely
approximately,aproximately
apron,apon
arbitrarily,arbitarily
arbitrary,arbitary
archaeologist,archeaologist
archaeologists,archeaologists
archaeology,archaoelogy
archaeology,archaology
archeologist,archeaologist
archeologists,archeaologists
archeology,archaoelogy
archeology,archaology
archetype,archtype
archetypes,archtypes
architect,archetect
architects,archetects
architectural,archetectural
architecturally,archetecturally
architecture,archetecture
archive,achive
archived,achived
armature,amature
arrangement,arangement
arrested,erested
article,artical
article,articel
artificial,artifical
artificially,artifically
artillery,artillary
ascension,accension
ascetic,asetic
aspects,spects
assassin,assasin
assassinate,assasinate
assassinated,assasinated
assassinates,assasinates
assassination,assasination
assassinations,assasinations
assassins,assasins
assemble,assemple
assistant,assitant
associated,asociated
asteroid,asteriod
asymmetric,assymetric
attainder,attaindre
attained,attaindre
attempt,attemt
attempted,attemted
attempting,attemting
attempts,attemts
attendance,attendence
attendant,attendent
attendants,attendents
attitude,attitide
attribute,atribute
attributes,atributes
audience,audeince
author,autor
autobiographic,authobiographic
autobiography,authobiography
auxiliary,auxilliary
available,avalable
available,avaliable
averaged,averageed
aviation,avation
away,awya
awkward,ackward
back,bakc
back,bcak
backward,ackward
bandwidth,bandwith
bankruptcy,bankrupcy
basically,basicaly
basically,basicly
beautiful,beatiful
beautiful,beautyfull
became,becamae
because,beacuse
because,becasue
because,becouse
because,becuase
becoming,becomming
before,befoer
begging,beggin
begin,beggin
beginner,begginer
beginners,begginers
beginning,beggining
beginning,begining
