correct,misspelled
apennines,apenines
apennines,appenines
bernoulli,bernouilli
blitzkrieg,blitzkreig
brazilian,brasillian
britain,britian
british,brittish
caesar,ceasar
cambridge,cambrige
caracas,carcas
caribbean,carribean
carthaginian,carthagian
champagne,champange
connecticut,conneticut
english,enlish
european,eurpean
european,eurpoean
february,febuary
flemish,flemmish
gandhi,ghandi
guinness,guiness
israelis,israelies
ithaca,ihaca
jacques,jaques
japanese,japanes
joseph,jospeh
judaism,juadaism
judaism,juadism
malcolm,malcom
massachusetts,massachussets
massachusetts,massachussetts
mediterranean,mediteranean
mississippi,missisipi
mississippi,missisippi
missouri,misouri
new_yorker,newyorker
newfoundland,foundland
orignal,orginal
philippine,phillipine
philippines,philipines
philippines,phillipines
philippines,phillippines
portuguese,portugese
puccini,pucini
rockefeller,rockerfeller
russian,russina
spanish,spainish
ukrainian,ukranian
valletta,valetta
wednesday,wensday
zionist,sionist
zionists,sionists
a_lot,alot
aberration,aberation
about,baout
about,boaut
absorbed,asorbed
abuts,abutts
accommodate,accomodate
accommodated,accomodated
accommodates,accomodates
accommodating,accomodating
accommodation,accomodation
accommodations,accomodations
accomplish,acomplish
accomplished,acomplished
accomplishment,acomplishment
accomplishments,acomplishments
according,acording
accuracy,acuracy
accused,accussed
accustom,acustom
accustomed,acustommed
achieve,acheive
achieve,achive
achieved,acheived
achieved,achived
achievement,acheivement
achievement,acheivment
achievement,achievment
achievements,acheivements
achievements,acheivments
achievements,achievments
achieves,acheives
achieving,acheiving
acquaintance,aquaintance
acquaintance,aquiantance
acquainted,aquainted
acquire,adquire
acquire,aquire
acquired,adquired
acquired,aquired
acquires,adquires
acquiring,adquiring
acquiring,aquiring
acquisition,aquisition
acquitted,acquited
acquitted,aquitted
across,accross
actually,actualy
adders,addres
additionally,additinally
address,addres
address,adres
address,adress
addressable,addresable
addressable,adresable
addressable,adressable
addressing,addresing
addressing,adresing
addressing,adressing
adhering,adhearing
administrate,adminstrate
administration,adminstration
administrative,adminstrative
admission,addmission
adolescent,adolecent
adopt,addopt
adopted,addopted
adoptive,addoptive
advertisement,advertisment
advertisements,advertisments
advice,adviced
aficionado,afficionado
aficionados,afficionados
again,agian
again,agina
aggravate,agravate
aggregate,agregate
aggregates,agregates
aggression,agression
aggressive,agressive
aggressively,agressively
aggrieved,agrieved
agree,agre
agreed,agred
agreeing,agreing
agreement,aggreement
airborne,airbourne
airports,airporta
alcohol,alchohol
alcoholic,alcoholical
algorithm,algoritm
algorithms,algoritms
allege,alege
allege,alledge
alleged,aleged
alleged,alledged
alleges,alledges
allophone,allopone
allophones,allopones
allot,alot
allotted,alotted
allusion,alusion
almost,almsot
almost,alomst
already,alreayd
also,alsot
although,althought
although,altough
always,alwasy
always,alwyas
amateur,amature
amend,ammend
amendment,admendment
amendment,ammendment
among,amoung
anal,anual
analogous,analogeous
angina,agina
annihilation,anihilation
announced,anounced
annual,anual
annulled,annuled
anoint,annoint
anointed,annointed
anointing,annointing
anoints,annoints
anything,anytying
anywhere,anyhwere
apart,appart
apartment,appartment
apartments,appartments
apologies,appologies
apology,appology
appalling,appealling
apparent,aparent
appealing,appealling
application,aplication
appreciate,apprieciate
approaches,approachs
appropriate,appropiate
approximately,aproximately
apron,apon
arbitrarily,arbitarily
arbitrary,arbitary
archaeologist,archeaologist
archaeologists,archeaologists
archaeology,archaoelogy
archaeology,archaology
archeologist,archeaologist
archeologists,archeaologists
archeology,archaoelogy
archetype,archtype
archetypes,archtypes
archive,achive
archived,achived
armature,amature
arrangement,arangement
article,artical
article,articel
artificial,artifical
artificially,artifically
ascetic,asetic
aspects,spects
assassin,assasin
assassinate,assasinate
assassinated,assasinated
assassinates,assasinates
assassination,assasination
assassinations,assasinations
assassins,assasins
assistant,assitant
associated,asociated
asteroid,asteriod
asymmetric,assymetric
attainder,attaindre
attained,attaindre
attempt,attemt
attempted,attemted
attempting,attemting
attempts,attemts
attitude,attitide
attribute,atribute
attributes,atributes
audience,audeince
author,autor
autobiographic,authobiographic
autobiography,authobiography
auxiliary,auxilliary
available,avalable
available,avaliable
averaged,averageed
aviation,avation
backward,ackward
bandwidth,bandwith
bankruptcy,bankrupcy
basically,basicaly
basically,basicly
beautiful,beatiful
became,becamae
because,beacuse
because,becasue
because,becuase
becoming,becomming
before,befoer
begging,beggin
begin,beggin
beginner,begginer
beginners,begginers
beginning,beggining
beginning,begining
beginning,beginnig
beginnings,begginings
behavior,behavour
behaviour,behavour
belief,beleif
beliefs,belives
believe,beleive
believed,beleived
believes,beleives
believes,belives
believing,beleiving
beneficiary,beneficary
besiege,beseige
besieged,beseiged
besieging,beseiging
bestiality,beastiality
between,vetween
bilaterally,bilateraly
blame,blaim
blamed,blaimed
boat,boaut
boundary,bondary
boundary,boundry
bout,baout
bout,boaut
breakthrough,breakthough
brilliant,briliant
broadly,broady
bureaucracy,beaurocracy
burin,buring
burning,buring
burying,buring
business,buisness
business,busineses
business,busness
businesses,busineses
calculate,caluclate
calculate,caluculate
calculate,calulate
calculated,caluclated
calculated,caluculated
calculated,calulated
calligraphy,caligraphy
campaign,campain
campaigns,campains
canister,cannister
canisters,cannisters
canonical,cannonical
carcass,carcas
caring,careing
cartographer,carthographer
cartridge,cartrige
cassowary,cassawory
cassowary,cassowarry
casualties,casulaties
casualty,casulaty
caterpillar,catterpilar
caterpillars,catterpilars
catholic,cathlic
cemetery,cemetarey
censure,censur
centuries,centruies
century,centruy
certain,ceratin
certainty,certainity
cervical,cervial
chairman,chariman
character,carachter
character,charachter
characteristics,charistics
characterized,charaterized
characters,charachters
charismatic,carismatic
chase,chasr
chaser,chasr
chemical,chemcial
chemically,chemcially
chemically,chemicaly
chief,cheif
children's,childrens
chosen,choosen
circuit,ciricuit
civilian,civillian
claims,claimes
clear,claer
clear,clera
clearance,cleareance
clearer,claerer
clearly,claerly
clinical,clincial
clinically,clinicaly
cloud,coudl
coast,caost
collateral,colateral
colleague,collegue
colleagues,collegues
colonies,collonies
colonnade,collonade
colony,collony
coloration,colouration
colossal,collosal
comeback,comback
coming,comming
commandeer,comander
commander,comander
